,,,,,,
SR NO.,Car Name,Manufacturer,Color,Notes,,
1,LA TROCA,HOT WHEELS,GREEN,,,
2,CHEVROLET C10,MAJORETTE,BLACK,,,
3,CHEVROLET C10,MAJORETTE,BLUE,,,
4,CUSTOM/PERSONNALISE 72 CHEVY LUV,HOT WHEELS,ORANGE,,,
5,DATSUN GO,HOT WHEELS,ORANGE,,,
6,FORD F-150 LIGHTNING SUPERTRUCK,HOT WHEELS,DARK BLUE,,,
7,AUSTIN MINI COOPER S,HOT WHEELS,RED,,,
8,70 DODGE CHARGER,HOT WHEELS,WHITE,TOONED,,
9,CLASSIC TV SERIES BATMOBILE,HOT WHEELS,PURPLE,BATMAN,,
10,BATMOBILE,HOT WHEELS,DARK BLUE,BATMAN,,
11,BATMAN & ROBIN BATMOBILE,HOT WHEELS,DARK BLUE,BATMAN,,
12,1996 BAT BOAT / BATEAU,HOT WHEELS,BLACK,BATMAN,,
13,55 CHEVY,HOT WHEELS,RED,,,
14,65 MERCURY COMET CYCLONE,HOT WHEELS,RED,,,
15,68 DODGE DART,HOT WHEELS,RED,,,
16,LOTUS SPORT ELITE,HOT WHEELS,ORANGE,,,
17,64 LINCOLN CONTINENTAL,HOT WHEELS,ORANGE,,,
18,SHELBY COBRA,DETSKY,RED,,,
19,66 NOVA,HOT WHEELS,SKY BLUE,,,
20,CADILLAC CELESTIQ,HOT WHEELS,BLUE,,,
21,PORSCHE TAYCAN TURBO S,HOT WHEELS,BLUE,,,
22,70 CHEVY CAMARO RS,HOT WHEELS,BLUE,58 ANNIVERSARY,,
23,BONE SHAKER,HOT WHEELS,BLUE,58 ANNIVERSARY,,
24,SHELBY COBRA,MAJORETTE,SKY BLUE,,,
25,HULK,MARVEL,GREEN,,,
26,BDD12 MR11,HOT WHEELS,ORANGE,,,
27,88 MITSUBISHI STARION,HOT WHEELS,WHITE,,,
28,BMW 635 CSI,HOT WHEELS,WHITE,,,
29,59 CHEVY IMPALA,HOT WHEELS,WHITE,,,
30,70 BUICK GSX,HOT WHEELS,GOLD,,,
31,17 AUDI RS 6 AVANT,HOT WHEELS,CREAM,,,
32,20 TOYOTA GR SUPRA,HOT WHEELS,GREY,,,
33,1983 PORSCHE 928S,HOT WHEELS,BLACK,X2,,
34,CLASSIC / CLASSIQUE 55 NOMAD,HOT WHEELS,BLACK,,,
35,DODGE HEMI CHALLENGER,HOT WHEELS,BLACK,,,
36,GORDON MURRAY AUTOMOTIVE T.33,HOT WHEELS,GREEN,,,
37,2018 HONDA CIVIC TYPE R,HOT WHEELS,GREEN,1ST,,
38,69 CHEVELLE,HOT WHEELS,GREEN,,,
39,70 FORD ESCORT RS1600,HOT WHEELS,BROWN,,,
40,PORSCHE 718 CAYMAN GTH,HOT WHEELS,BURGUNDY,,,
41,DODGE CHARGER,MAJORETTE,SAGE GREEN,,,
42,RODGER DODGER,HOT WHEELS,BLACK,,,
43,2024 SUBARU WRX S4 STI,MATCHBOX,RED,,,
